Libya,. .,. .,. .,. .,. .,. .,. .,. .,. .,244.6,277.8,218.6,202.6,150.6,81.8,96.3,120.0,119.2,104.4,107.0,181.6,. .,. .,. .,475.3,627.3,590.3,. .,. .,. .,. .,. .,. .
Ethiopia,13.7,16.9,16.4,10.7,5.0,3.1,2.7,2.1,2.1,3.7,7.3,10.9,9.3,5.1,4.1,3.9,4.2,4.5,4.4,4.5,4.7,4.0,3.5,3.7,4.0,3.6,4.2,4.4,4.7,4.7,4.7,4.9,4.0
Nigeria,3.0,1.8,2.9,2.5,1.7,2.8,3.0,5.9,6.3,7.2,9.9,4.1,3.0,4.6,7.0,4.5,4.7,4.9,5.4,6.6,10.8,9.7,12.6,14.6,13.9,14.1,13.4,11.4,9.3,8.5,10.4,9.3,12.5
South Africa,121.5,116.4,118.6,102.7,95.1,82.1,85.8,79.5,61.4,56.2,43.6,39.2,42.1,39.5,38.3,55.1,65.5,74.5,72.3,71.8,66.0,71.2,81.8,88.3,85.0,76.7,71.4,63.0,55.9,63.0,62.7,58.7,53.1
Sudan,19.6,. .,58.5,65.4,8.5,11.5,9.7,5.8,4.3,3.8,10.0,16.1,21.5,13.9,16.9,13.5,41.1,37.6,52.0,75.0,97.6,94.1,. .,. .,. .,. .,. .,58.6,69.0,107.4,25.1,16.9,21.3
Uganda,8.7,8.3,6.2,4.1,2.8,3.3,5.3,6.2,6.4,6.4,6.9,7.0,6.0,5.6,5.6,5.9,7.3,7.8,7.6,8.6,10.2,9.3,18.8,18.1,10.2,8.4,8.8,8.0,8.0,8.4,9.6,14.6,21.5
Zimbabwe,41.3,40.2,39.9,35.2,27.2,22.5,22.0,23.0,25.3,26.7,26.0,22.3,29.1,24.0,56.6,16.3,21.3,10.9,13.3,. .,. .,. .,7.7,15.4,24.3,26.7,27.1,27.3,25.5,23.9,29.1,37.3,. .
Cuba,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,26.4,5.5,7.0,6.8,7.4,7.9,8.2,8.4,8.3,11.3,10.6,11.1,10.5,10.9,10.8,11.3,. .,. .
Mexico,12.2,14.0,14.4,17.1,21.0,24.0,29.2,17.0,20.2,23.1,23.6,27.2,30.7,32.2,31.2,28.7,27.3,29.5,28.2,38.7,39.1,40.1,42.0,47.5,48.7,54.5,56.2,44.9,43.3,40.6,46.3,52.1,47.4
Canada,369.2,395.4,414.5,406.6,382.3,359.7,331.8,314.7,292.5,267.1,258.1,271.0,271.3,271.2,272.5,316.3,356.3,403.8,455.2,528.9,580.2,561.1,565.7,619.4,585.7,524.6,500.6,497.9,488.8,606.3,613.1,593.5,602.9
