,country,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
2,Afghanistan,26200000.0,-143300000.0,,,,,,,,,,,,,,,,,,,-238376258.640059,277627586.221436,-577708206.772323,-2246921171.24519,-5150161881.41159,-5095040596.60647,-3232893168.37268,-4192816422.82819,-2708462935.14897,-3554897942.49064,-3896837603.93393,-3791935256.04003,-3136120114.98308
5,Albania,-27100000.0,-39300000.0,-118300000.0,-168000000.0,-50700000.0,14900000.0,-157300000.0,-11500000.0,-107300000.0,-272232500.0,-65070000.0,-155400000.0,-156300000.0,-217400000.0,-407520000.0,-406814698.259077,-357925427.326321,-571475353.650417,-670904254.719467,-1150813004.28052,-2013166061.36354,-1852457561.90294,-1355598479.39827,-1667175109.43642,-1256644799.54907,-1184891052.23519,-1425385680.43297,-979825099.400462,-900363040.501948,-982237928.301345,-1010238285.34799,-1218844955.87906,-1317236096.62278
8,UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Argentina,-1572000000.0,-1305000000.0,4552000000.0,-647000000.0,-5547754558.62268,-8205889940.16498,-10979452970.0946,-5117957254.29083,-6769978160.48526,-12138068595.3394,-14481998042.2511,-11942825328.0158,-8980617892.62762,-3780423241.19359,8766610000.0,8139930000.0,3211790000.0,5273750000.0,6498802520.20453,6048537892.88669,5421206328.61008,7254115683.93703,-1622995871.25068,-5340181192.3952,-2138040360.43296,-13124373785.8633,-9179026266.87552,-17621985168.21,-15104786524.5601,-31151351750.7624,-27049205421.1077,-3997018054.51692,2984985969.99773
10,Armenia,,,,,,-67730000.0,-103780000.0,-220677007.0,-322209052.982993,-335738764.986447,-416148343.902794,-312542932.852967,-301667882.53552,-221164164.287385,-147810525.588102,-173510013.114181,-78841446.2541776,-123899753.898011,-152931434.45237,-677270882.378012,-1658884233.70808,-1425501011.33033,-1261431337.93129,-1058869760.23295,-1057931944.57862,-813673760.481535,-901811470.85351,-284724290.922379,-107875646.434645,-173860989.403052,-860010880.544991,-987522525.741376,-394236447.78479
13,Australia,,-18340091394.3267,-15532375781.5639,-10586162828.9367,-10313304564.5566,-9289520941.73122,-15863048787.8869,-18669238436.3801,-14404742352.5668,-11910492515.9163,-17780527378.192,-21795709492.9592,-15487273891.4343,-7986938465.21441,-16002234756.2014,-29307731701.3676,-41286950910.194,-43342943309.5636,-45318593059.6826,-64163007801.9241,-52121667002.2045,-48898407698.7643,-44714246092.1586,-44431156054.1156,-64482910032.1769,-47872531026.3494,-43397397625.4285,-56958711794.5014,-41035416124.8005,-35951694822.4385,-29784738313.3228,8033400362.83176,33829320741.584
14,Austria,,,,,,,,,,,,,,,,,,6232945526.75533,10993883346.6651,14749054068.6709,19299052401.6221,10303724796.1585,11472431144.4445,6798975982.3796,6141933076.67494,8379185904.99943,10589968447.7841,6634070794.96634,10771582681.0119,5650780663.76815,5990933496.77658,12666127203.9232,10780590327.196
15,Azerbaijan,,,,,,,,-400650000.0,-931182000.0,-915755000.0,-1364521000.0,-599703000.0,-167773000.0,-51755000.0,-768373000.0,-2020854000.0,-2589213000.0,167315000.0,3707605000.0,9018885000.0,16452805000.0,10174876000.0,15040436000.0,17144935000.0,14975987000.0,12231737000.0,10208803000.0,-222495000.0,-1363404000.0,1684559000.0,6051077000.0,4364886019.2297,-227568000.0
17,Belgium,,,,,,,,,,,,,,,11622181453.1176,10806024030.8731,11434413829.7619,7700999844.66491,7553988245.75251,7043546782.48605,-4300219760.99251,8777353551.11963,7337927601.44296,-10168977415.4153,-413616611.594275,5078944279.8718,4041465918.74957,6363243452.05958,2646800222.52589,3518201465.32789,-4138109054.77106,1842643564.42101,-933105903.567895
21,Bulgaria,-402000000.0,-769000000.0,-1710000000.0,-76900000.0,-359900000.0,-1098800000.0,-31800000.0,-25800000.0,15700000.0,426900000.0,-61912460.8485193,-652131909.298516,-703685705.88299,-804648255.3858,-319039031.090316,-1022155146.77236,-1671124319.58448,-3346998839.52149,-5863231595.24003,-11437006353.762,-11875334885.4618,-4256328502.85846,-964620000.0,272490000.0,-528620000.0,678640000.0,747230000.0,-123190000.0,1560850000.0,1987340000.0,559360000.0,1233620000.0,-537660000.0
