,country,aliases
0,Libya,[]
1,Ethiopia,[]
2,Nigeria,[]
3,South Africa,[]
4,Sudan,[]
5,Uganda,[]
6,Zimbabwe,[]
7,Cuba,[]
8,Mexico,[]
9,Canada,[]
10,USA,['United States']
11,Argentina,[]
12,Chile,[]
13,Venezuela,"['Venezuela, RB']"
14,China,[]
15,Japan,[]
16,"Korea, North","[""Korea, Dem. People's Rep""]"
17,"Korea, South","['Korea, Rep.']"
18,Taiwan,[]
19,Afghanistan,[]
20,India,[]
21,Nepal,[]
22,Pakistan,[]
23,Malaysia,[]
24,Myanmar,[]
25,Philippines,[]
26,Singapore,[]
27,Thailand,[]
28,Viet Nam,['Vietnam']
29,Australia,[]
30,New Zealand,[]
31,Albania,[]
32,Bosnia-Herzegovina,[]
33,Bulgaria,[]
34,Croatia,[]
35,Czechia,[]
36,Czechoslovakia,[]
37,Estonia,[]
39,Hungary,[]
40,Kosovo,[]
41,Latvia,[]
42,Lithuania,[]
43,Montenegro,[]
44,North Macedonia,[]
45,Poland,[]
46,Romania,[]
47,Serbia,[]
48,Slovakia,[]
49,Slovenia,[]
50,Yugoslavia,[]
51,Armenia,[]
52,Azerbaijan,[]
53,Belarus,[]
54,Georgia,[]
55,Moldova,[]
56,Russia,['Russian Federation']
57,Ukraine,[]
58,Austria,[]
59,Belgium,[]
60,Cyprus,[]
61,Denmark,[]
62,Finland,[]
63,France,[]
64,Germany,[]
65,Greece,[]
66,Iceland,[]
67,Ireland,[]
68,Italy,[]
69,Luxembourg,[]
70,Malta,[]
71,Netherlands,[]
72,Norway,[]
73,Portugal,[]
74,Spain,[]
75,Sweden,[]
76,Switzerland,[]
77,UK,['United Kingdom']
78,Bahrain,[]
79,Egypt,"['Egypt, Arab Rep.']"
80,Iran,"['Iran, Islamic Rep.']"
81,Iraq,[]
82,Israel,[]
83,Jordan,[]
84,Kuwait,[]
85,Lebanon,[]
86,Oman,[]
87,Qatar,[]
88,Saudi Arabia,[]
89,Syria,['Syrian Arab Republic']
90,Turkey,[]
91,UAE,['United Arab Emirates']
92,Yemen,"['Yemen, Rep.']"
93,"Yemen, North",[]
